seed,case,mode,mutant,strategy,detected,durationMs,reportedFuzzRuns,firstFailureRun
6,cursor,broad,true,0,false,26.336389000000054,256,
6,cursor,boundaries,false,4,false,27.205205000000205,256,
6,cursor,boundaries,true,4,true,21.633672999999817,46,47
6,cursor,jev,false,2,false,23.16506900000013,256,
6,cursor,jev,true,2,true,22.46202399999993,16,17
7,clamp,boundaries,false,4,false,24.14372500000036,256,
7,clamp,boundaries,true,4,true,23.5064440000001,33,34
7,clamp,jev,false,2,false,22.977645999999822,256,
7,clamp,jev,true,2,true,24.31238300000041,6,7
7,clamp,broad,false,0,false,30.057984000000033,256,
7,clamp,broad,true,0,false,23.946513000000323,256,
7,pages,boundaries,false,4,false,35.430141000000276,256,
7,pages,boundaries,true,4,true,24.836870999999974,37,38
7,pages,jev,false,2,false,30.103630000000067,256,
7,pages,jev,true,2,true,23.266571999999996,37,38
7,pages,broad,false,0,false,24.86817999999994,256,
7,pages,broad,true,0,false,25.738562,256,
7,cursor,boundaries,false,4,false,25.429407999999967,256,
7,cursor,boundaries,true,4,true,27.195748999999978,33,34
7,cursor,jev,false,2,false,26.015462999999727,256,
7,cursor,jev,true,2,true,24.515945999999985,6,7
7,cursor,broad,false,0,false,28.64117299999998,256,
7,cursor,broad,true,0,false,23.611912000000302,256,
8,clamp,jev,false,2,false,24.034316999999646,256,
8,clamp,jev,true,2,true,22.806572999999844,2,3
8,clamp,broad,false,0,false,24.25668799999994,256,
8,clamp,broad,true,0,false,24.016163000000233,256,
8,clamp,boundaries,false,4,false,24.176336999999876,256,
8,clamp,boundaries,true,4,true,25.63130900000033,82,83
8,pages,jev,false,2,false,26.452005999999983,256,
8,pages,jev,true,2,true,27.1484089999999,4,5
8,pages,broad,false,0,false,23.379413999999997,256,
8,pages,broad,true,0,false,24.275322000000415,256,
8,pages,boundaries,false,4,false,25.81109800000013,256,
8,pages,boundaries,true,4,true,23.40105399999993,44,45
8,cursor,jev,false,2,false,24.624681999999666,256,
8,cursor,jev,true,2,true,23.544515000000047,6,7
8,cursor,broad,false,0,false,22.858382000000347,256,
8,cursor,broad,true,0,false,24.015232000000196,256,
8,cursor,boundaries,false,4,false,23.558260999999675,256,
8,cursor,boundaries,true,4,true,23.38493500000004,43,44
9,clamp,broad,false,0,false,23.128199000000222,256,
9,clamp,broad,true,0,false,24.50904300000002,256,
9,clamp,boundaries,false,4,false,24.603611,256,
9,clamp,boundaries,true,4,true,22.521527000000333,77,78
9,clamp,jev,false,2,false,23.571274999999787,256,
9,clamp,jev,true,2,true,22.689022000000023,33,34
9,pages,broad,false,0,false,22.911581000000297,256,
9,pages,broad,true,0,false,27.7349549999999,256,
9,pages,boundaries,false,4,false,26.0473020000004,256,
9,pages,boundaries,true,4,true,21.82902100000001,12,13
9,pages,jev,false,2,false,22.544840000000022,256,
9,pages,jev,true,2,true,27.66633499999989,7,8
9,cursor,broad,false,0,false,23.828430000000026,256,
9,cursor,broad,true,0,false,24.419513999999708,256,
9,cursor,boundaries,false,4,false,24.5259659999997,256,
9,cursor,boundaries,true,4,true,22.46759400000019,77,78
9,cursor,jev,false,2,false,24.9402970000001,256,
9,cursor,jev,true,2,true,24.645469999999932,33,34
10,clamp,boundaries,false,4,false,22.63644400000021,256,
10,clamp,boundaries,true,4,true,24.90342600000031,92,93
10,clamp,jev,false,2,false,23.694278000000395,256,
10,clamp,jev,true,2,true,22.282014999999774,39,40
10,clamp,broad,false,0,false,23.805718000000525,256,
10,clamp,broad,true,0,false,22.7062049999995,256,
10,pages,boundaries,false,4,false,23.1939339999999,256,
10,pages,boundaries,true,4,true,22.334805000000415,7,8
10,pages,jev,false,2,false,22.537987000000612,256,
10,pages,jev,true,2,true,22.57370499999979,7,8
10,pages,broad,false,0,false,22.165696000000025,256,
10,pages,broad,true,0,false,23.05822900000021,256,
10,cursor,boundaries,false,4,false,22.709209999999985,256,
10,cursor,boundaries,true,4,true,22.502862000000277,48,49
10,cursor,jev,false,2,false,23.425580000000082,256,
10,cursor,jev,true,2,true,22.70570299999963,39,40
10,cursor,broad,false,0,false,26.729057999999895,256,
10,cursor,broad,true,0,false,25.27603900000031,256,
11,clamp,jev,false,2,false,23.828421000000162,256,
11,clamp,jev,true,2,true,21.386305999999422,39,40
11,clamp,broad,false,0,false,22.518742000000202,256,
11,clamp,broad,true,0,false,23.011199000000488,256,
11,clamp,boundaries,false,4,false,27.118421999999555,256,
11,clamp,boundaries,true,4,true,22.460221000000274,39,40
11,pages,jev,false,2,false,23.29959299999973,256,
11,pages,jev,true,2,true,22.24865099999988,8,9
11,pages,broad,false,0,false,22.517469000000347,256,
11,pages,broad,true,0,true,23.14238700000078,207,208
11,pages,boundaries,false,4,false,22.821061000000554,256,
11,pages,boundaries,true,4,true,22.56608999999935,8,9
11,cursor,jev,false,2,false,26.048095000000103,256,
11,cursor,jev,true,2,true,21.901287999999113,39,40
11,cursor,broad,false,0,false,22.151749000000564,256,
11,cursor,broad,true,0,false,21.966400999999678,256,
11,cursor,boundaries,false,4,false,23.60077099999944,256,
11,cursor,boundaries,true,4,true,22.43735800000013,39,40
12,clamp,broad,false,0,false,23.276770000000397,256,
12,clamp,broad,true,0,false,21.808352000000014,256,
12,clamp,boundaries,false,4,false,24.06213100000059,256,
12,clamp,boundaries,true,4,true,22.355383000000074,81,82
12,clamp,jev,false,2,false,24.22736299999997,256,
12,clamp,jev,true,2,true,21.760000999999647,66,67
12,pages,broad,false,0,false,26.080595999999787,256,
12,pages,broad,true,0,false,26.552574999999706,256,
12,pages,boundaries,false,4,false,26.18045400000028,256,
